Date,BUDGET_fun_10_spent_value,BUDGET_fun_12_spent_value,BUDGET_fun_9_spent_value,BUDGET_group_personal_spent_value,BUDGET_group_invest_spent_value,BUDGET_type_mandatory_spent_value,BUDGET_type_amendments_spent_value,BUDGET_type_disc_spent_value
2001-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-12,23563450889.0,4161812297.0,61718825127.0,62678574405.0,15442124762.0,136371696663.0,0.0,35471868880.0
2002-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-12,25434639563.0,12606265888.0,123218090688.0,75029037160.0,18438718814.0,253274561567.0,0.0,46520824919.0
2003-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12,27171829258.0,13533411600.0,145477600268.0,78994344585.0,7108841700.0,291154375037.0,0.0,33341575602.0
2004-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12,32970640429.0,13872473140.0,165509439470.0,89432177637.0,12099228423.0,336149709597.0,0.0,40547874178.0
2005-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12,36479260582.0,15420582706.0,188505524167.0,94022531914.0,19353664616.0,395599894397.0,0.0,51920939092.0
2006-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12,39867880263.0,17287949458.0,212511128515.0,107573611772.0,21569851797.0,444832342550.0,0.0,56576280529.0
2007-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12,45042859985.0,21806011533.0,233908063109.0,118361848852.0,36937264218.0,495584911444.0,0.0,79088771366.0
2008-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12,49302794513.0,25353985682.0,258122049155.0,134799563348.0,37955353772.0,565877804169.0,0.0,84074415951.0
2009-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12,57196762575.0,33134901439.0,290507005099.0,155822255444.0,48911550750.0,628538033152.0,0.0,102351853336.0
2010-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12,60726454214.0,44100739434.0,325827873985.0,170478849656.0,55836994562.0,704758376832.0,0.0,116570042603.0
2011-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,70997500450.0,52922420787.0,359267171796.0,183546365101.0,51326498608.0,799522498382.0,0.0,115971085195.0
2012-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12,78718352568.0,64034731264.0,399295747598.0,190641849892.0,78079217160.0,880055003938.0,0.0,144412895708.0
2013-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12,84039173130.0,71032624716.0,445298813218.0,206964044544.0,82753708341.0,983539267201.0,0.0,159506540834.0
2014-01,16762200075.79,29484514459.79821,301592458813.83997,120787183586.54018,37529597720.71573,711551957551.0669,0.0,10304432927.414677
2014-02,8880331575.3,10349206930.069366,4829488741.91,10267759148.003445,5668638183.009139,45587056807.42898,706449.45,17206129823.49082
2014-03,7709793405.02,4198253179.810544,-7214919284.26,8622882414.566467,6422387155.95085,3151739242.6367064,31918.21,12771691925.918514
2014-04,5932736316.424561,6214677758.930615,-20518242711.94,8795828730.99953,5738476445.220802,-9291072311.707918,248917.95,13554786819.149658
2014-05,8240704457.689381,7121868603.88564,96057339980.41,7732974754.93795,10585306914.612465,108218355882.23512,981180749.89,14154582013.022266
2014-06,6617125637.937641,4771016921.569079,5425362380.01,10697645443.630075,11278443641.525846,16903023091.633265,1851647377.24,10329542952.559366
2014-07,6817401447.27338,3392634011.809379,9298697428.67,15661229450.705282,9637744017.129765,28941118429.380173,1355930809.02,11300032839.886467
2014-08,7707999124.725134,2502390041.70214,70339584743.8,9136762941.069586,5588996497.522996,87250198986.21156,55684353.42,9506116040.257076
2014-09,6888863310.725393,1413547455.4748378,3804830147.98,8744820675.178688,4952672948.146101,19532716269.282,540802345.6,9587266760.083515
2014-10,6529825610.93134,5543221332.707559,4451698986.28,11946055128.401987,4947859177.921176,27021754121.61337,240523210.77,11345679350.463295
2014-11,6521880162.427839,4917730131.316118,8211571614.48,19125087620.67736,5491353446.723991,30855598109.588295,497032976.88,10777269168.793413
2014-12,5413051843.443768,3677243835.6173797,19027727119.99,7901913776.430284,13461831772.038433,26100004396.70864,618473070.89,16034125140.296892
2015-01,27422695733.16,50687977969.409805,467033478318.44,130153056720.71906,42742357193.82,938484882414.1874,0.0,6537547624.086367
2015-02,3410009911.25,3725823675.510179,8623119242.009998,11254790336.724236,152991827.3,19063531422.46001,0.0,3781430234.0923505
2015-03,12708030573.44,3828094888.815056,16230979573.229998,25003573686.20902,535336208.30248,40526780217.2051,0.0,6436798286.070861
2015-04,11734572879.182863,3664418430.499888,13290244877.210001,6476675697.178048,5807564642.200988,25527793660.373535,4755000.0,9694567800.214449
2015-05,6209603222.247748,5416008783.339323,3358332169.55,8822840378.429169,3761543750.0583143,15654812369.880905,1332407.6099999999,10035531876.206814
2015-06,3931945031.933162,4637017677.659143,5716556037.7699995,12074605527.33245,8982247297.882355,19494498547.43586,7057692.999999999,16759322239.82721
2015-07,11481387780.96305,5039507495.08404,4389858401.54,10193046425.034334,11642253492.76604,23532058245.06578,2504398.0900000003,16458938908.585983
2015-08,2902143741.7602057,3311420896.913074,3314444366.36,8480842735.898888,4384210448.122958,14622569202.177212,6429053.29,8406334028.912825
2015-09,2290760106.644987,6778965213.057524,3002598824.0900006,7865606227.930674,8720707436.550148,14096884835.513613,-1564012.72,19522193484.607742
2015-10,4991215397.382916,4137100558.02287,3108639609.5099998,10332466494.544998,2215213502.1808887,22531808412.239326,1197218853.09,5487345267.567801
2015-11,5204189340.006194,5185619496.832076,5517261467.860001,14765378118.869122,6243416344.188654,29370508612.530304,1183587484.44,8810132340.428831
2015-12,7248904636.802498,2098455096.0823295,7630900429.25,11033761818.428963,9252828496.607077,4548145972.352942,1029194833.0098,11126753953.142038
2016-01,20265471033.44,41395405434.61578,395924617136.1,137237760921.78941,24074256785.93,832705556513.0941,0.0,4776281434.388441
2016-02,8872769645.19,10454326570.94447,7505516225.190001,12087632401.65246,5833257415.430637,45300377291.86364,3303906.24,7701522978.428447
2016-03,8914719330.99,18589834818.906048,-1946888766.4499998,6697874979.455316,16257319552.9882,15947832053.791557,4368630.91,15363095952.679337
2016-04,18353823208.91,3078512571.12081,12756151710.330002,13668420576.459805,5959837829.572071,41207863855.34228,69012871.84,11291417609.646126
2016-05,4994848254.496209,3178386303.004424,28724955389.4,11955154695.212059,9282647704.910835,46754053797.97948,3802969526.9,12192228165.83623
2016-06,4413470478.4607115,2546004741.908181,4176974550.27,10470437568.399235,8751497240.616896,14738414483.692192,625497366.48,6433020133.615274
2016-07,7035573276.59568,3403372823.145676,4070004358.8,9621440352.236258,3939110526.35859,33901645251.839817,260595549.72,8046607152.168534
2016-08,19266502292.32179,2876933925.120919,10451854544.51,9134948607.343351,1344487893.9921203,36643746783.4175,-25984391.046429005,7673364853.860016
2016-09,2168858334.240764,4907473590.817888,10872645076.869999,25521133140.338116,3936958029.9488726,50474052253.88708,111061936.72268178,7594412533.371577
2016-10,2332613966.3891497,2604151242.5375824,26044240022.05,12040867439.718958,3456922407.4090376,44189254377.668335,257994844.92774746,6910276076.920146
2016-11,2879333155.859769,8426114920.123631,76550367991.42001,19144201152.046387,11229604063.959843,99904975407.31352,1035457915.3437457,18605114453.732944
2016-12,8595793784.016155,5277678615.447706,20349217834.57,9674359648.187723,18380992148.766888,45247467306.48224,1125731745.4351835,18602743524.968525
2017-01,18749140030.690002,64773345670.32683,611587019611.05,179816861497.9468,49963090353.91056,1105419724643.9949,1001038.78,5814863562.442796
2017-02,14273652852.970001,5522780246.659101,4640765936.490001,15599729895.12743,2302705032.6228647,47722552848.8468,1360038.5,6729961537.225442
2017-03,7199499887.64,2542848386.02148,3934287039.14,11252659992.837843,2420211323.528307,18742977605.37943,5191938.59,8200527265.13652
2017-04,17490581748.83349,3220830190.1616893,2229637705.6299996,8229742298.495607,5307812740.986431,28537863111.212627,5544693.0,12015679284.044004
2017-05,4676123085.871786,5266160516.506482,5289967652.7300005,14519606960.706318,11086888361.695023,40256048821.24116,89486236.66,13973536762.175505
