Date,CNY,EUR,USD
03-01-2000,0.217973,1.85047,1.8011
04-01-2000,0.221919,1.8915,1.8337
05-01-2000,0.224424,1.91582,1.8544
06-01-2000,0.223419,1.90761,1.8461
07-01-2000,0.221241,1.88241,1.8281
10-01-2000,0.219789,1.86588,1.8161
11-01-2000,0.220491,1.88333,1.8219
12-01-2000,0.22164,1.89096,1.8314
13-01-2000,0.220176,1.86899,1.8193
14-01-2000,0.217804,1.82887,1.7997
17-01-2000,0.21732,1.81942,1.7957
18-01-2000,0.21692,1.81895,1.7924
19-01-2000,0.217647,1.82503,1.7984
20-01-2000,0.215432,1.81269,1.7801
21-01-2000,0.215226,1.79887,1.7784
24-01-2000,0.213629,1.78056,1.7652
25-01-2000,0.214706,1.77854,1.7741
26-01-2000,0.215045,1.78223,1.7769
27-01-2000,0.214851,1.75843,1.7753
28-01-2000,0.216327,1.7512,1.7875
31-01-2000,0.218178,1.75227,1.8024
01-02-2000,0.217065,1.74835,1.7932
02-02-2000,0.216677,1.74988,1.79
03-02-2000,0.215212,1.76242,1.7779
04-02-2000,0.215285,1.7511,1.7785
07-02-2000,0.21376,1.73445,1.7659
08-02-2000,0.213699,1.74456,1.7654
09-02-2000,0.213433,1.75314,1.7632
10-02-2000,0.214196,1.74879,1.7695
11-02-2000,0.213615,1.74475,1.7647
14-02-2000,0.214244,1.73749,1.7699
15-02-2000,0.215031,1.74636,1.7764
16-02-2000,0.214644,1.7528,1.7732
17-02-2000,0.21474,1.75643,1.774
18-02-2000,0.214317,1.74605,1.7705
21-02-2000,0.215273,1.75847,1.7784
22-02-2000,0.215769,1.79623,1.7825
23-02-2000,0.216508,1.79593,1.7886
24-02-2000,0.215212,1.76918,1.7779
25-02-2000,0.214752,1.73079,1.7741
28-02-2000,0.215321,1.73128,1.7788
29-02-2000,0.214051,1.70887,1.7685
01-03-2000,0.213967,1.72447,1.7678
02-03-2000,0.213022,1.70189,1.76
03-03-2000,0.211945,1.68417,1.7511
08-03-2000,0.211788,1.68432,1.7498
09-03-2000,0.209912,1.67808,1.7343
10-03-2000,0.210432,1.67772,1.7386
13-03-2000,0.211836,1.69101,1.7502
14-03-2000,0.210263,1.68401,1.7372
15-03-2000,0.210977,1.68938,1.7431
16-03-2000,0.210081,1.68812,1.7357
17-03-2000,0.210687,1.69577,1.7407
20-03-2000,0.210457,1.69513,1.7388
21-03-2000,0.210372,1.67393,1.7381
22-03-2000,0.209452,1.66575,1.7305
23-03-2000,0.208689,1.679,1.7242
24-03-2000,0.208593,1.68736,1.7234
27-03-2000,0.210142,1.68113,1.7362
28-03-2000,0.21128,1.68046,1.7456
29-03-2000,0.210348,1.65705,1.7379
30-03-2000,0.212078,1.68734,1.7522
31-03-2000,0.211483,1.67353,1.7473
03-04-2000,0.210684,1.66425,1.7407
04-04-2000,0.210902,1.67468,1.7425
05-04-2000,0.212197,1.68918,1.7532
06-04-2000,0.210878,1.6731,1.7423
07-04-2000,0.211071,1.66887,1.7439
10-04-2000,0.210442,1.67677,1.7387
11-04-2000,0.21118,1.67585,1.7448
12-04-2000,0.211459,1.67771,1.7471
13-04-2000,0.213419,1.68338,1.7633
14-04-2000,0.21584,1.71925,1.7833
17-04-2000,0.216324,1.70558,1.7873
18-04-2000,0.214182,1.67559,1.7696
19-04-2000,0.21377,1.66353,1.7662
20-04-2000,0.215247,1.67182,1.7784
24-04-2000,0.216845,1.68315,1.7916
25-04-2000,0.216506,1.6501,1.7888
26-04-2000,0.21768,1.66426,1.7985
27-04-2000,0.218866,1.64819,1.8083
28-04-2000,0.21864,1.65088,1.8067
02-05-2000,0.217926,1.64189,1.8008
03-05-2000,0.21979,1.62758,1.8162
04-05-2000,0.219572,1.61671,1.8144
05-05-2000,0.219258,1.6289,1.8118
08-05-2000,0.218532,1.62386,1.8058
09-05-2000,0.218786,1.64348,1.8079
10-05-2000,0.219875,1.64966,1.8169
11-05-2000,0.21979,1.63885,1.8162
12-05-2000,0.221049,1.68296,1.8266
15-05-2000,0.222452,1.67728,1.8382
16-05-2000,0.220226,1.64173,1.8198
17-05-2000,0.221363,1.64088,1.8292
18-05-2000,0.221521,1.64077,1.8305
19-05-2000,0.223324,1.65911,1.8454
22-05-2000,0.223493,1.67016,1.8468
23-05-2000,0.224328,1.68345,1.8537
24-05-2000,0.224328,1.67937,1.8537
25-05-2000,0.222573,1.6804,1.8392
26-05-2000,0.223336,1.72105,1.8455
29-05-2000,0.222525,1.70726,1.8388
30-05-2000,0.221521,1.70688,1.8305
31-05-2000,0.221118,1.71567,1.8266
01-06-2000,0.220343,1.69891,1.8202
02-06-2000,0.219157,1.71404,1.8104
05-06-2000,0.217087,1.70305,1.7933
06-06-2000,0.216675,1.71075,1.7899
07-06-2000,0.218334,1.73774,1.8036
08-06-2000,0.217268,1.71866,1.7948
09-06-2000,0.217886,1.71904,1.7999
12-06-2000,0.218382,1.7235,1.804
13-06-2000,0.219108,1.7401,1.81
14-06-2000,0.219193,1.73842,1.8107
15-06-2000,0.218854,1.72813,1.8079
16-06-2000,0.218782,1.74672,1.8073
19-06-2000,0.218261,1.7285,1.803
20-06-2000,0.217789,1.72188,1.7991
21-06-2000,0.219363,1.71402,1.8121
23-06-2000,0.220355,1.70775,1.8203
26-06-2000,0.221312,1.71626,1.8282
27-06-2000,0.220743,1.72699,1.8235
28-06-2000,0.220259,1.71646,1.8195
29-06-2000,0.21998,1.7312,1.8172
30-06-2000,0.217874,1.71896,1.8
03-07-2000,0.218843,1.72117,1.808
04-07-2000,0.219339,1.72761,1.8121
05-07-2000,0.218443,1.72309,1.8047
06-07-2000,0.217511,1.71088,1.797
