Time,CAN_inflation,CHI_inflation,CHN_inflation,EUZ_inflation,UK_inflation,US_inflation
2001-01,-0.4136505,0.3366913,1.021328,-0.4,-0.7,0.6321839
2001-02,0.5192108,-0.3074866,0.09999948,0.3,0.3,0.3997716
2001-03,0.3099174,0.4760628,-0.5999995,0.5,0.3,0.2275313
2001-04,0.7209063,0.4564565,0.2000001,0.6,0.6,0.3972758
2001-05,0.8179959,0.4344533,-0.5000008,0.5,0.6,0.4522329
2001-06,0.1014199,0.05555997,-1.199999,0.2,0.2,0.1688239
2001-07,-0.3039514,-0.1930298,-0.5000009,-0.2,-0.6,-0.2808989
2001-08,0.0,0.8027554,0.1000009,-0.1,0.4,0.0
2001-09,0.203252,0.7332843,0.8999997,0.3,0.3,0.4507042
2001-10,-0.5070994,0.1356746,0.3000001,0.1,-0.1,-0.3365115
2001-11,-0.9174312,-0.00911957,-0.2000006,-0.1,-0.1,-0.1688239
2001-12,0.2057613,-0.3087908,0.1000006,0.4,0.2,-0.3945885
2002-01,0.2053388,-0.08103092,0.2999995,0.1,-0.2,0.2263724
