Date,WD_CAN_interest,WD_CHI_interest,WD_CHN_interest,Euro area (19 countries),WD_UK_interest,WD_US_interest
2001-01,5.4914,6.63,3.24,4.7559,5.9208,5.98
2001-02,5.49,7.85,3.24,4.9925,5.8447,5.49
2001-03,4.9927,2.57,3.24,4.7814,5.4017,5.31
2001-04,4.7442,7.76,3.24,5.0642,5.3159,4.8
2001-05,4.67,10.01,3.24,4.6536,5.5203,4.21
2001-06,4.4935,8.96,3.24,4.5395,4.7796,3.97
2001-07,4.2414,5.43,3.24,4.5055,5.2943,3.77
2001-08,4.1679,6.01,3.24,4.4913,4.8046,3.65
2001-09,3.4858,6.5,3.24,3.9865,4.8526,3.07
2001-10,2.7412,6.64,3.24,3.9713,4.5973,2.49
2001-11,2.5955,6.5,3.24,3.5073,3.5761,2.09
2001-12,2.2444,6.62,3.24,3.3389,4.5841,1.82
2002-01,1.9923,6.21,3.24,3.2936,3.7685,1.73
2002-02,1.9926,6.02,2.7,3.283,4.0574,1.74
2002-03,1.9933,5.03,2.7,3.264,4.0431,1.73
2002-04,2.244,4.74,2.7,3.3162,3.752,1.75
2002-05,2.2471,4.29,2.7,3.31,3.9273,1.75
2002-06,2.4964,3.99,2.7,3.3485,3.5006,1.75
2002-07,2.7418,3.54,2.7,3.3017,3.861,1.73
2002-08,2.7448,3.08,2.7,3.2927,4.1371,1.74
2002-09,2.7447,3,2.7,3.3186,3.8711,1.75
2002-10,2.7449,2.99,2.7,3.3004,4.0884,1.75
2002-11,2.7431,3,2.7,3.3043,3.6521,1.34
2002-12,2.7439,3.03,2.7,3.0945,4.3953,1.24
2003-01,2.7439,2.81,2.7,2.7868,3.8044,1.24
2003-02,2.7469,2.76,2.7,2.7635,3.7243,1.26
2003-03,2.992,2.67,2.7,2.749,3.9196,1.25
2003-04,3.2373,2.74,2.7,2.5605,3.619,1.26
2003-05,3.2416,2.75,2.7,2.5571,3.6875,1.26
2003-06,3.2449,2.73,2.7,2.2133,3.6535,1.22
2003-07,2.9947,2.75,2.7,2.0783,3.2923,1.01
2003-08,2.9972,2.75,2.7,2.0981,3.5053,1.03
2003-09,2.749,2.74,2.7,2.0209,3.5179,1.01
2003-10,2.7492,2.75,2.7,2.0148,3.355,1.01
2003-11,2.7481,2.75,2.7,1.973,3.5483,1
2003-12,2.7481,2.45,2.7,2.0567,3.7778,0.98
2004-01,2.4951,1.87,2.7,2.0214,3.7159,1
2004-02,2.4953,1.74,2.7,2.0315,4.0873,1.01
2004-03,2.2482,1.72,2.7,2.0057,3.904,1
2004-04,1.9959,1.73,2.7,2.078,3.8914,1
2004-05,1.9985,1.75,2.7,2.0152,4.203,1
2004-06,2.0005,1.76,2.7,2.0277,4.3628,1.03
2004-07,1.9973,1.74,2.7,2.0677,4.4623,1.26
2004-08,1.9979,1.72,2.7,2.0405,4.63,1.43
2004-09,2.2496,1.94,2.7,2.0518,4.7314,1.61
2004-10,2.496,2.02,3.33,2.1114,4.7297,1.76
2004-11,2.4977,2.17,3.33,2.085,4.7408,1.93
2004-12,2.4999,2.37,3.33,2.0535,4.7618,2.16
2005-01,2.498,2.44,3.33,2.0771,4.7599,2.28
2005-02,2.4971,2.68,3.33,2.0585,4.816,2.5
2005-03,2.4794,2.82,3.33,2.0567,4.7618,2.63
2005-04,2.4954,3.08,3.33,2.0757,4.8125,2.79
2005-05,2.4866,3.27,3.33,2.07,4.7079,3
2005-06,2.4936,3.27,3.33,2.0623,4.7935,3.04
2005-07,2.4922,3.42,3.33,2.0729,4.7546,3.26
2005-08,2.4882,3.67,3.33,2.0609,4.5775,3.5
2005-09,2.7421,3.98,3.33,2.0941,4.5499,3.62
2005-10,2.9873,4.17,3.33,2.0671,4.4246,3.78
2005-11,2.9883,4.37,3.33,2.0859,4.5458,4
2005-12,3.2437,4.53,3.33,2.2757,4.6381,4.16
2006-01,3.2961,4.56,3.33,2.3264,4.4829,4.29
2006-02,3.4765,4.55,3.33,2.3495,4.4255,4.49
2006-03,3.7269,4.67,3.33,2.52,4.5402,4.59
2006-04,3.8182,4.8,3.33,2.6283,4.4928,4.79
2006-05,4.2126,5.06,3.33,2.5768,4.5093,4.94
2006-06,4.2455,5.03,3.33,2.6977,4.5712,4.99
2006-07,4.2442,5.12,3.33,2.8138,4.5459,5.24
2006-08,4.2427,5.26,3.33,2.9683,4.8026,5.25
2006-09,4.2465,5.32,3.33,3.041,4.7892,5.25
2006-10,4.2335,5.29,3.33,3.2782,4.8255,5.25
2006-11,4.2476,5.24,3.33,3.3277,4.9968,5.25
2006-12,4.2482,5.36,3.33,3.5011,5.0844,5.24
2007-01,4.2447,5.16,3.33,3.5632,5.2231,5.25
2007-02,4.2504,5.04,3.33,3.5695,5.3183,5.26
2007-03,4.2432,5.05,3.33,3.6909,5.3032,5.26
2007-04,4.2471,5.07,3.33,3.8195,5.2915,5.25
2007-05,4.2352,5.07,3.33,3.7905,5.4778,5.25
2007-06,4.2536,5.1,3.33,3.9557,5.6093,5.25
2007-07,4.504,5.17,3.33,4.0632,5.8434,5.26
