Date,ECO_fiscal_result_month,ECO_fiscal_result_12months,ECO_inflation_month,ECO_inflation_12months,ECO_interest_rate,ECO_gross_debt_gdp_pre,ECO_gross_debt_gdp_pos,ECO_gross_debt_R$_pre,ECO_gross_debt_R$_pos,ECO_net_debt_gdp_%,ECO_net_debt_R$,ECO_net_debt_gdp_%_federal_govt,ECO_net_debt_R$_federal_govt,ECO_net_debt_R$_dlspc,ECO_balance_payments_US$_M,ECO_GDP_R$_12_months,ECO_inter_reserves_US$
2001-01,2629.62,,0.57,5.92,15.25,,,751214.25,,,541333.74,,337611.99,,-557.0,1209046.1,35598.0
2001-02,1053.24,,0.46,6.27,15.25,,,758881.03,,,550253.48,,346552.5,,-23.9,1218911.0,35413.0
2001-03,3884.62,,0.38,6.44,15.75,,,780864.83,,,561959.2,,355037.5,,-366.6,1234635.0,34407.0
2001-04,6500.83,,0.58,6.61,16.25,,,789558.26,,,565464.63,,360694.52,,28.7,1250830.7,34653.0
2001-05,4011.68,,0.41,7.04,16.75,,,807300.23,,,581727.09,,374879.99,,106.5,1263306.0,35459.0
2001-06,1407.57,,0.52,7.35,18.25,,,823616.02,,,586060.21,,378378.89,,191.4,1265570.0,37318.0
2001-07,1261.38,,1.33,7.05,19.0,,,829960.84,,,606367.82,,395250.93,,20.0,1272918.6,35552.0
2001-08,2471.01,,0.7,6.41,19.0,,,848716.31,,,622953.86,,408431.08,,548.3,1280805.4,36299.0
2001-09,1952.36,,0.28,6.46,19.0,,,875364.79,,,635685.65,,418457.6,,511.9,1289198.6,40054.0
2001-10,1890.87,,0.83,7.19,19.0,,,901707.25,,,646099.14,,418907.03,,119.8,1298386.5,37492.0
2001-11,845.77,,0.71,7.61,19.0,,,890585.3,,,638367.6,,405832.79,,201.0,1308590.4,37234.0
2001-12,-5929.15,21979.8,0.65,7.67,19.0,67.33,,885907.19,,49.3,648685.21,31.3,411771.96,51.49,756.6,1315755.5,35866.0
2002-01,7039.63,26389.81,0.52,7.62,19.0,68.37,,906266.93,,50.36,667556.51,32.22,427044.38,52.28,103.9,1325599.6,36167.0
2002-02,2144.53,27481.1,0.36,7.51,18.75,67.76,,904899.76,,49.62,662702.47,31.69,423143.19,51.43,172.8,1335441.4,35906.0
2002-03,2314.24,25910.72,0.6,7.75,18.5,67.38,,906714.79,,49.0,659375.87,31.41,422704.98,51.01,514.6,1345582.3,36721.0
2002-04,5732.5,25142.39,0.8,7.98,18.5,68.4,,929155.62,,49.09,666783.78,31.5,427928.57,50.95,396.6,1358396.3,33008.0
2002-05,1848.04,22978.750000000004,0.21,7.77,18.5,69.78,,956468.85,,50.32,689710.63,32.62,447092.35,52.17,269.3,1370746.6,32889.0
