Date,ECO_revenue,ECO_FBCF
2001-01,22633.83209,105.98
2001-02,18150.77305,102.38
2001-03,20083.74215,114.76
2001-04,21889.77466,106.07
2001-05,21186.0382,115.5
2001-06,21530.52764,104.48
2001-07,22237.14981,110.31
2001-08,22229.49628,112.58
2001-09,20706.01917,101.42
2001-10,23620.44008,101.87
2001-11,21883.04615,98.92
2001-12,27118.38096,97.52
2002-01,28235.18103,92.85
2002-02,22927.55991,94.6
2002-03,22682.45412,110.05
2002-04,25540.24885,107.43
2002-05,23954.98201,104.64
2002-06,22975.04935,100.03
2002-07,27725.36918,111.17
2002-08,24604.86882,105.98
2002-09,28889.47685,105.7
2002-10,29894.33503,107.9
2002-11,27417.55527,105.49
2002-12,32282.10803,107.58
2003-01,32253.89578,105.35
2003-02,26851.6224,101.37
2003-03,25716.68198,100.07
2003-04,31402.24282,100.33
2003-05,28247.82702,96.88
2003-06,25836.50307,93.6
2003-07,30109.88143,98.7
2003-08,26579.28543,98.02
2003-09,27694.86408,103.9
2003-10,32832.05959,105.48
2003-11,30496.17116,103.32
2003-12,37985.78162,96.47
2004-01,34820.51216,97.92
2004-02,30150.80615,98.35
2004-03,31600.58305,113.31
2004-04,34470.00804,108.35
2004-05,31834.986,108.75
2004-06,34090.33707,108.42
2004-07,35856.15763,113.49
2004-08,33636.29977,114.96
2004-09,34911.94927,114.79
2004-10,37317.52051,108.52
2004-11,33647.33731,116.75
2004-12,46442.53787,102
2005-01,40200.36631,103.16
2005-02,33447.68249,99.1
2005-03,36006.08373,111.54
2005-04,40475.00626,107.56
2005-05,35498.41048,112.68
2005-06,40234.73335,115.2
2005-07,39707.16097,111.32
2005-08,38449.05661,119.52
2005-09,37169.43833,115.36
2005-10,41579.99666,110.42
2005-11,39335.09241,113.98
2005-12,52546.35302,111.3
2006-01,44498.8461,110.22
2006-02,38318.24351,107.44
2006-03,40065.29608,123.75
2006-04,45679.95951,109.07
2006-05,39896.36505,121.28
2006-06,45371.82977,117.19
2006-07,44229.39837,120.9
2006-08,42110.6373,125.26
2006-09,45846.96778,119.98
2006-10,47921.65139,123.69
2006-11,43334.91404,123.62
2006-12,58080.33023,117.44
2007-01,50894.04115,119.85
2007-02,42832.51214,115.74
2007-03,46242.7939,130.4
2007-04,52075.91185,123.52
2007-05,46396.26467,136.11
2007-06,50220.45004,131.12
2007-07,51421.33895,138.42
2007-08,49787.2505,146.49
2007-09,50181.01981,133.33
2007-10,56470.09465,144.09
2007-11,54152.21828,139.12
2007-12,67292.48494,131.33
2008-01,63621.62771,136.78
2008-02,49431.32125,132.71
2008-03,52074.49572,140.52
2008-04,60806.15305,143.71
2008-05,51556.39243,148.49
2008-06,56883.34845,151.84
2008-07,63253.1535,164.21
2008-08,55104.56176,166.98
2008-09,56835.93837,162.13
2008-10,66942.55446,169
2008-11,57045.85121,142.06
2008-12,68190.67477,126.4
2009-01,62842.00343,121.5
2009-02,46260.15758,115.46
2009-03,54763.62536,134.14
2009-04,59020.85999,128.87
2009-05,51193.19946,137.64
2009-06,55391.28807,140.73
2009-07,60076.98982,152.47
2009-08,53530.50157,158.97
2009-09,52905.63312,162.87
2009-10,70239.40477,169.01
2009-11,74644.729,166.07
2009-12,75933.68268,159.02
2010-01,74495.82999,152.77
2010-02,55082.06465,151.02
2010-03,60875.89008,174.94
2010-04,72460.79977,160.47
2010-05,62635.27196,169.89
2010-06,62991.84849,170.23
2010-07,69612.61085,175.52
2010-08,64362.01645,184.77
2010-09,65087.94566,186.39
2010-10,76073.76274,179.11
2010-11,69599.81096,182.97
2010-12,93241.10649,170.52
2011-01,91071.09441,163.61
2011-02,64139.23216,173.25
2011-03,70983.96381,181.25
2011-04,85155.07716,170.54
2011-05,71533.93754,189.72
2011-06,82726.23387,181.05
2011-07,90247.2521,187.99
2011-08,74607.3944,199.25
2011-09,75100.4247,190.93
2011-10,88736.64557,191.31
2011-11,78965.70394,192.47
2011-12,96625.10495,177.93
2012-01,102579.2393,177.42
2012-02,71902.46525,172.52
2012-03,82366.94676,184.46
2012-04,92628.00707,173.44
2012-05,77971.00555,193.57
2012-06,81107.48855,180.31
2012-07,87946.6535,186.51
2012-08,77074.25435,200.01
2012-09,78214.92578,183.06
2012-10,90515.96672,200.52
2012-11,83706.98485,189.95
2012-12,103245.6768,174.65
2013-01,116066.2582,184.44
2013-02,76051.01316,176.48
2013-03,80112.59727,189.27
2013-04,98713.75706,203.46
2013-05,87860.43244,199.45
2013-06,85681.31573,190.88
2013-07,94294.47808,198.82
2013-08,83956.9708,206.62
2013-09,84212.29875,206
2013-10,100998.1284,214.04
2013-11,112518.2997,199.58
2013-12,118364.6651,176.56
2014-01,123666.8557,194.45
2014-02,83142.96904,189.03
2014-03,86624.63922,189.6
2014-04,105885.3289,189.57
2014-05,87896.54331,191.41
2014-06,91387.34053,174.83
2014-07,98816.43531,183.86
2014-08,94377.04136,186.44
2014-09,90720.83495,195.6
2014-10,106216.4714,201.42
2014-11,104472.3983,184.81
2014-12,114743.5,165.48
2015-01,125281.8669,174.12
2015-02,89981.62612,162.44
2015-03,94112.14887,182.45
2015-04,109241.1775,166.04
2015-05,91500.22592,164.52
2015-06,97090.6966,157.13
2015-07,104867.989,166.09
2015-08,93738.26906,160.46
2015-09,95239.28727,154.91
2015-10,103530.0618,162.56
2015-11,95461.15705,152.94
2015-12,121501.9911,129.54
2016-01,129384.8506,140.63
2016-02,87850.75267,134.97
2016-03,95778.54245,146.15
2016-04,110895.2211,138.69
2016-05,95218.70539,141.11
2016-06,98128.87617,155.66
2016-07,107415.6916,140.37
2016-08,91808.10351,146.56
2016-09,94769.98509,143.55
2016-10,148800.8182,142.55
2016-11,102245.4162,136.67
2016-12,127607.2168,131.8
2017-01,137391.7177,129.95
2017-02,92358.29656,129.22
2017-03,98994.20616,140.26
2017-04,118046.5401,125.99
2017-05,97693.8262,138.76
2017-06,104099.8461,137.43
2017-07,109948.1146,135.38
2017-08,104206.2487,147.58
2017-09,105594.8688,143.43
2017-10,121143.774,148.29
2017-11,115088.6849,144.75
2017-12,137841.5486,134.22
2018-01,155619.4949,131.5
2018-02,105122.3818,138.49
2018-03,105659.1715,142.82
2018-04,130806.4791,142.97
2018-05,106192.361,133.21
2018-06,110855.0371,141.88
2018-07,129614.9303,163.46
2018-08,109751.1058,159.93
2018-09,110663.5701,142.31
2018-10,131880.4096,155.11
2018-11,119420.356,158.24
2018-12,141528.5683,131.94
2019-01,160425.5207,142.99
2019-02,115061.5802,140.96
2019-03,109854.0654,141.06
2019-04,139029.6459,145.44
2019-05,113278.0096,156.83
2019-06,119946.3978,146.7
2019-07,137734.5459,161.29
2019-08,119951.3487,164.3
2019-09,113933.472,162.75
2019-10,135202.3937,165.8
2019-11,125160.9921,151.19
2019-12,147500.7214,132.67
2020-01,174990.5654,159.66
2020-02,116430.3597,151.5
2020-03,109717.509,143.63
2020-04,101154.2078,100.25
2020-05,77415.35156,149.07
2020-06,86258.1949,134.39
2020-07,115990.224,145.06
2020-08,124504.5876,145.95
2020-09,119825.1548,154.26
2020-10,153938.0786,157.6
2020-11,140101.2148,155.02
2020-12,159064.5787,183.93
2021-01,180221.2431,157.59
2021-02,127747.1579,148.03
2021-03,137931.5553,202.3
2021-04,156821.8103,149.92
2021-05,142105.7677,159.93
2021-06,137168.9057,176.13
2021-07,171269.6388,166.59
2021-08,146462.6728,171.72
2021-09,149102.0048,172.85
2021-10,178742.3898,172.58
2021-11,157340.169,171.39
2021-12,193902.2095,161.08
2022-01,235321.2927,155.62
2022-02,148664.2084,154.13
2022-03,164146.6569,168.16
2022-04,195085.06,157.79
2022-05,165333.4917,171.89
2022-06,181040.2202,166
2022-07,202588.2072,172.66
2022-08,172314.2033,182.57
2022-09,166286.7028,181.86
2022-10,205475.2399,185.79
2022-11,172037.5482,177.13
2022-12,210191.0074,158.42
2023-01,251744.5028,156.15
2023-02,158994.5335,149.94
2023-03,171056.3621,178.72
2023-04,203888.5405,151.21
2023-05,176812.0995,173.45
2023-06,180475.243,162.21
2023-07,201828.7797,162.64
2023-08,172784.9558,172.13
2023-09,174315.6436,165.99
2023-10,215601.823,174.45
2023-11,179392.377,168.87
2023-12,219176.9462,155.19
