date,eco_total_revenue
2001-01,22633.832093669
2001-02,18150.7730482988
2001-03,20083.7421544895
2001-04,21889.77465842
2001-05,21186.0382037126
2001-06,21530.5276437697
2001-07,22237.1498060413
2001-08,22229.4962828886
2001-09,20706.0191723962
2001-10,23620.4400762994
2001-11,21883.0461473678
2001-12,27118.3809642803
2002-01,28235.1810254813
2002-02,22927.5599113201
2002-03,22682.4541177007
2002-04,25540.2488526901
2002-05,23954.9820075294
2002-06,22975.0493503109
2002-07,27725.3691801495
2002-08,24604.8688152498
2002-09,28889.4768458099
2002-10,29894.3350341705
2002-11,27417.5552747705
2002-12,32282.1080295721
2003-01,32253.89577657
2003-02,26851.62239728
2003-03,25716.68198208
2003-04,31402.24281793
2003-05,28247.82702211
2003-06,25836.50306648
2003-07,30109.88143332
2003-08,26579.28542567
2003-09,27694.86407906
2003-10,32832.0595903
2003-11,30496.17115712
2003-12,37985.78162439
2004-01,34820.5121587093
2004-02,30150.8061479524
2004-03,31600.5830477317
2004-04,34470.0080350527
2004-05,31834.9859958307
2004-06,34090.3370724156
2004-07,35856.1576301259
2004-08,33636.2997745773
2004-09,34911.9492683062
2004-10,37317.5205060978
2004-11,33647.3373059226
2004-12,46442.5378687304
2005-01,40200.3663109777
2005-02,33447.6824894726
2005-03,36006.0837344235
2005-04,40475.0062644416
2005-05,35498.4104843176
2005-06,40234.7333461661
2005-07,39707.1609747494
2005-08,38449.0566109107
2005-09,37169.4383312903
2005-10,41579.9966610789
2005-11,39335.0924103424
2005-12,52546.35301511
2006-01,44498.84610313
2006-02,38318.24350973
2006-03,40065.29607921
2006-04,45679.95951382
2006-05,39896.36505253
2006-06,45371.829767413
2006-07,44229.39837271
2006-08,42110.6373004
2006-09,45846.96778138
2006-10,47921.65139254
2006-11,43334.91403931
2006-12,58080.33023295
2007-01,50894.0411498067
2007-02,42832.5121379886
2007-03,46242.7939015004
2007-04,52075.9118467261
2007-05,46396.2646745633
2007-06,50220.4500397855
2007-07,51421.3389505243
2007-08,49787.2504978362
2007-09,50181.01981461
2007-10,56470.09464573
2007-11,54152.21827785
2007-12,67292.48494167
2008-01,63621.62770506
2008-02,49431.32125193
2008-03,52074.49571504
2008-04,60806.15304529
2008-05,51556.39243129
2008-06,56883.34845457
2008-07,63253.15349717
2008-08,55104.56176069
2008-09,56835.93837124
2008-10,66942.55445555
2008-11,57045.85121489
2008-12,68190.67476503
2009-01,62842.00343337
2009-02,46260.15758337
