Time,eco_fiscal_result_month,eco_fiscal_result_12months,eco_inflation_month,eco_inflation_12months,eco_interest_rate,eco_gross_debt_gdp_pre,eco_gross_debt_gdp_pos,eco_gross_debt_R$_pre,eco_gross_debt_R$_pos,eco_net_debt_gdp_%,eco_net_debt_R$,eco_net_debt_gdp_%_federal_govt,eco_net_debt_R$_federal_govt,eco_balance_payments_US$_M,eco_GDP_R$_12_months,CHN_GDP,UK_GDP,US_GDP,Brent Crude Oil,Coffee,Iron Ore,Meat index,Orange,Soybeans,Sugar,exp_DIC_y,exp_DIC_y+1,exp_DIC_y+2,exp_GDP (%)_y,exp_GDP (%)_y+1,exp_GDP (%)_y+2,exp_US$_currency_y,exp_US$_currency_y+1,exp_US$_currency_y+2,exp_basic_interest_rate_y,exp_basic_interest_rate_y+1,exp_basic_interest_rate_y+2,exp_gross_public_debt_y,exp_gross_public_debt_y+1,exp_gross_public_debt_y+2,exp_inflation_y,exp_inflation_y+1,exp_inflation_y+2,exp_net_public_debt_y,exp_net_public_debt_y+1,exp_net_public_debt_y+2,exp_primary_result_y,exp_primary_result_y+1,exp_primary_result_y+2,exp_trade_balance_y,exp_trade_balance_y+1,exp_trade_balance_y+2,CNY,EUR,USD,bud_fun_09_initial_value,bud_fun_10_initial_value,bud_fun_12_initial_value,bud_fun_09_spent_value,bud_fun_10_spent_value,bud_fun_12_spent_value,bud_group_personal_initial_value,bud_group_personal_spent_value,bud_group_invest_initial_value,bud_group_invest_spent_value,bud_type_mandatory_initial_value,bud_type_mandatory_spent_value,bud_type_amendments_initial_value,bud_type_disc_initial_value,bud_type_amendments_spent_value,bud_type_disc_spent_value
01-01-2001,2629.62,,0.57,5.92,,,,751214.25,,,541333.74,,337611.99,-557.0,1209046.1,98.4956970515868,100.672496277806,100.928921211842,57.210577831094,40.0711760398,22.1804109893876,65.9387291430547,45.1595687653451,48.3648907150972,57.6671705915692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2001,1053.24,,0.46,6.27,15.25,,,758881.03,,,550253.48,,346552.5,-23.9,1218911.0,98.3246685006535,100.644866728709,100.710436944026,61.883477489923,41.0617103756319,22.1804109893876,67.6750455381529,44.9723894904187,46.1676378899939,54.2375853131372,24.0,21.0,22.0,4.0,4.5,4.5,2.0,2.06,,14.0,12.44,12.0,,,,4.2,3.8,3.46,48.33,47.6,47.98,3.0,2.7,2.1,0.45,1.5,3.1,0.238926,1.86133,1.9739,,,,,,,,,,,,,,,,
01-03-2001,3884.62,,0.38,6.44,15.25,,,780864.83,,,561959.2,,355037.5,-366.6,1234635.0,98.1678721945877,100.600183515554,100.505616143445,55.534734827194,40.6896455770543,22.1804109893876,74.2165540618591,44.4382950145287,45.3191310353431,51.038821203564,24.0,21.0,21.5,4.1,4.5,4.05,2.03,2.1,,13.75,12.44,12.0,,,,4.2,3.7,3.46,48.5,47.9,47.0,3.0,2.7,2.2,-0.52,1.0,2.47,0.24726,1.90259,2.0428,,,,,,,,,,,,,,,,
01-04-2001,6500.83,,0.58,6.61,15.75,,,789558.26,,,565464.63,,360694.52,28.7,1250830.7,98.0057169449938,100.538848473811,100.305096784763,57.716566988595,40.2817536668567,22.1804109893876,74.3320018365599,44.1155640744068,43.7297637180494,47.7289434339383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2001,4011.68,,0.41,7.04,16.25,,,807300.23,,,581727.09,,374879.99,106.5,1263306.0,97.8296102494629,100.46409509595,100.094238898294,63.0852786684458,42.4995793744812,22.1804109893876,77.6751897731324,46.5394219719752,45.1798239398034,52.1689855072847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2001,1407.57,,0.52,7.35,16.75,,,823616.02,,,586060.21,,378378.89,191.4,1265570.0,97.6385389048491,100.378790920185,99.8651898926205,62.1215247898037,38.968625754112,22.1804109893876,79.212016793931,45.7607909789614,46.9338269154622,50.9820741485027,20.0,20.0,20.0,3.55,3.8,4.27,2.2,2.3,2.33,16.0,14.19,12.0,,,,5.27,3.8,3.5,50.17,50.0,48.75,3.0,3.0,2.5,-1.5,-0.1,0.9,0.288519,2.02539,2.3833,,,,,,,,,,,,,,,,
01-07-2001,1261.38,,1.33,7.05,18.25,,,829960.84,,,606367.82,,395250.93,20.0,1272918.6,97.4359412209407,100.283322157403,99.6296640650494,55.4389435604248,35.9749567492054,22.1804109893876,79.8839550587373,48.3410952557521,51.4613075205021,49.9452048245407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2001,2471.01,,0.7,6.41,19.0,,,848716.31,,,622953.86,,408431.08,548.3,1280805.4,97.2297536868643,100.176563863117,99.4086600604453,57.0909812289217,36.2129576939436,22.1804109893876,80.9986963888307,46.1524618798625,50.3848436004227,46.9134062249285,18.0,17.0,18.0,2.5,3.2,4.0,2.39,2.5,2.6,18.0,15.5,14.0,,,,6.1,4.03,3.69,53.0,53.05,52.0,3.1,3.0,3.0,-1.05,0.49,1.03,0.30186,2.20236,2.4935,,,,,,,,,,,,,,,,
01-09-2001,1952.36,,0.28,6.46,19.0,,,875364.79,,,635685.65,,418457.6,511.9,1289198.6,97.027216795933,100.057672248445,99.2229255708175,57.3148390625039,35.5633578116394,22.1804109893876,79.2957652984859,47.9552520586607,47.5163838604464,43.2539543118286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-10-2001,1890.87,,0.83,7.19,19.0,,,901707.25,,,646099.14,,418907.03,119.8,1298386.5,96.8381583597522,99.9287693505991,99.0826636162578,46.6571421781138,34.4041939381587,22.1804109893876,74.7083234826732,50.6563697096812,44.2869921002081,40.3749657737926,18.0,15.0,17.4,1.6,2.5,3.5,2.7,2.8,2.9,19.0,16.5,14.5,,,,6.6,4.8,4.0,54.8,55.3,54.3,3.35,3.5,3.01,0.4,2.1,3.05,0.325244,2.46888,2.6866,,,,,,,,,,,,,,,,
