Date," Receitas
Administradas
pela RFB ", Receitas Administradas por Outros Órgãos ," Total
Geral
(**) "
2001-1," 16,524 ", 845 ," 17,369 "
2001-2," 12,685 ", 439 ," 13,123 "
2001-3," 14,626 ", 386 ," 15,012 "
2001-4," 16,009 ", 803 ," 16,812 "
2001-5," 15,477 ", 495 ," 15,972 "
2001-6," 15,286 ", 548 ," 15,834 "
2001-7," 16,319 ", 930 ," 17,249 "
2001-8," 16,011 ", 887 ," 16,898 "
2001-9," 15,074 ", 527 ," 15,601 "
2001-10," 17,122 "," 1,089 "," 18,211 "
2001-11," 15,712 ", 464 ," 16,176 "
2001-12," 17,733 ", 546 ," 18,279 "
2002-1," 21,802 ", 879 ," 22,681 "
2002-2," 17,043 ", 461 ," 17,504 "
2002-3," 16,807 ", 479 ," 17,286 "
2002-4," 18,655 "," 1,177 "," 19,832 "
2002-5," 17,543 ", 522 ," 18,065 "
2002-6," 16,773 ", 575 ," 17,348 "
2002-7," 19,937 "," 1,344 "," 21,281 "
2002-8," 18,050 ", 665 ," 18,715 "
2002-9," 21,984 ", 836 ," 22,820 "
2002-10," 22,068 "," 1,856 "," 23,924 "
2002-11," 20,232 ", 796 ," 21,027 "
2002-12," 21,819 ", 704 ," 22,523 "
2003-1," 29,723 "," 2,531 "," 32,254 "
2003-2," 25,713 "," 1,138 "," 26,852 "
2003-3," 24,620 "," 1,097 "," 25,717 "
2003-4," 28,594 "," 2,808 "," 31,402 "
2003-5," 27,269 ", 979 ," 28,248 "
2003-6," 24,836 "," 1,001 "," 25,837 "
2003-7," 28,131 "," 1,979 "," 30,110 "
2003-8," 25,568 "," 1,011 "," 26,579 "
2003-9," 26,605 "," 1,090 "," 27,695 "
2003-10," 30,573 "," 2,259 "," 32,832 "
2003-11," 29,262 "," 1,235 "," 30,496 "
2003-12," 36,760 "," 1,226 "," 37,986 "
2004-1," 32,575 "," 2,245 "," 34,821 "
2004-2," 29,134 "," 1,017 "," 30,151 "
2004-3," 30,535 "," 1,066 "," 31,601 "
2004-4," 32,243 "," 2,227 "," 34,470 "
2004-5," 30,703 "," 1,132 "," 31,835 "
2004-6," 32,768 "," 1,322 "," 34,090 "
2004-7," 33,209 "," 2,647 "," 35,856 "
2004-8," 32,244 "," 1,392 "," 33,636 "
2004-9," 33,330 "," 1,582 "," 34,912 "
2004-10," 33,969 "," 3,348 "," 37,318 "
2004-11," 31,550 "," 2,097 "," 33,647 "
2004-12," 44,450 "," 1,993 "," 46,443 "
2005-1," 37,582 "," 2,619 "," 40,200 "
2005-2," 32,651 ", 797 ," 33,448 "
2005-3," 35,127 ", 880 ," 36,006 "
2005-4," 38,044 "," 2,431 "," 40,475 "
2005-5," 34,533 ", 965 ," 35,498 "
2005-6," 39,462 ", 772 ," 40,235 "
2005-7," 37,174 "," 2,534 "," 39,707 "
2005-8," 37,599 ", 850 ," 38,449 "
2005-9," 36,290 ", 879 ," 37,169 "
2005-10," 38,680 "," 2,900 "," 41,580 "
2005-11," 38,422 ", 914 ," 39,335 "
2005-12," 51,734 ", 813 ," 52,546 "
2006-1," 41,018 "," 2,636 "," 43,654 "
2006-2," 36,571 ", 967 ," 37,539 "
2006-3," 38,375 ", 863 ," 39,238 "
2006-4," 41,880 "," 3,025 "," 44,905 "
2006-5," 37,912 "," 1,069 "," 38,981 "
2006-6," 43,529 "," 1,033 "," 44,562 "
2006-7," 40,211 "," 3,104 "," 43,315 "
2006-8," 40,149 "," 1,048 "," 41,197 "
2006-9," 43,178 "," 1,520 "," 44,699 "
2006-10," 43,703 "," 3,272 "," 46,975 "
2006-11," 41,089 ", 896 ," 41,985 "
2006-12," 55,373 ", 935 ," 56,308 "
2007-1," 47,162 "," 2,722 "," 49,884 "
2007-2," 40,967 ", 789 ," 41,755 "
2007-3," 44,467 ", 767 ," 45,234 "
2007-4," 48,688 "," 2,363 "," 51,051 "
2007-5," 44,601 ", 829 ," 45,430 "
2007-6," 48,212 ", 867 ," 49,079 "
2007-7," 47,797 "," 2,605 "," 50,402 "
2007-8," 47,671 ", 982 ," 48,653 "
2007-9," 47,576 ", 904 ," 48,480 "
